Demand for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389946&sdid=EBA.SW-ALL.D.H
04:14:53 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.D.H megawatthours
06/23/2022 01H,12156
06/23/2022 00H,11963
06/22/2022 23H,11527
06/22/2022 22H,11145
06/22/2022 21H,10667
06/22/2022 20H,10333
06/22/2022 19H,9869
06/22/2022 18H,9296
06/22/2022 17H,8802
06/22/2022 16H,8536
06/22/2022 15H,8184
06/22/2022 14H,7893
06/22/2022 13H,7918
06/22/2022 12H,7836
06/22/2022 11H,7791
06/22/2022 10H,7952
06/22/2022 09H,8149
06/22/2022 08H,8507
06/22/2022 07H,8903
06/22/2022 06H,9455
06/22/2022 05H,10171
06/22/2022 04H,10552
06/22/2022 03H,10780
06/22/2022 02H,11026
06/22/2022 01H,11367
06/22/2022 00H,11545
06/21/2022 23H,11436
06/21/2022 22H,11140
06/21/2022 21H,10631
06/21/2022 20H,10141
06/21/2022 19H,9545
06/21/2022 18H,8886
06/21/2022 17H,8257
06/21/2022 16H,7800
06/21/2022 15H,7563
06/21/2022 14H,7305
06/21/2022 13H,7138
06/21/2022 12H,7019
06/21/2022 11H,6998
06/21/2022 10H,7156
06/21/2022 09H,7459
06/21/2022 08H,7822
06/21/2022 07H,8299
06/21/2022 06H,9048
06/21/2022 05H,9719
06/21/2022 04H,10510
06/21/2022 03H,10999
06/21/2022 02H,11348
06/21/2022 01H,11452
06/21/2022 00H,11305
06/20/2022 23H,11083
06/20/2022 22H,10607
06/20/2022 21H,10173
06/20/2022 20H,9632
06/20/2022 19H,8985
06/20/2022 18H,8364
06/20/2022 17H,7854
06/20/2022 16H,7466
06/20/2022 15H,7221
06/20/2022 14H,6964
06/20/2022 13H,6805
06/20/2022 12H,6723
06/20/2022 11H,6644
06/20/2022 10H,6776
06/20/2022 09H,7028
06/20/2022 08H,7383
06/20/2022 07H,7896
06/20/2022 06H,8499
06/20/2022 05H,9016
06/20/2022 04H,9598
06/20/2022 03H,10048
