Demand for New England (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389942&sdid=EBA.NE-ALL.D.H
12:32:10 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.D.H megawatthours
05/15/2022 13H,10941
05/15/2022 12H,10516
05/15/2022 11H,10538
05/15/2022 10H,10427
05/15/2022 09H,10375
05/15/2022 08H,10481
05/15/2022 07H,10738
05/15/2022 06H,11125
05/15/2022 05H,11385
05/15/2022 04H,12160
05/15/2022 03H,13183
05/15/2022 02H,14156
05/15/2022 01H,14751
05/15/2022 00H,14782
05/14/2022 23H,14830
05/14/2022 22H,14770
05/14/2022 21H,14309
05/14/2022 20H,13560
05/14/2022 19H,12926
05/14/2022 18H,12343
05/14/2022 17H,11881
05/14/2022 16H,11532
05/14/2022 15H,11203
05/14/2022 14H,11020
05/14/2022 13H,10907
05/14/2022 12H,10722
05/14/2022 11H,10697
05/14/2022 10H,10581
05/14/2022 09H,10518
05/14/2022 08H,10502
05/14/2022 07H,10690
05/14/2022 06H,10845
05/14/2022 05H,11387
05/14/2022 04H,11910
05/14/2022 03H,12957
05/14/2022 02H,13985
05/14/2022 01H,14580
05/14/2022 00H,14666
05/13/2022 23H,14611
05/13/2022 22H,14129
05/13/2022 21H,13250
05/13/2022 20H,12371
05/13/2022 19H,12042
05/13/2022 18H,12008
05/13/2022 17H,12024
05/13/2022 16H,11651
05/13/2022 15H,11773
05/13/2022 14H,11940
05/13/2022 13H,12188
05/13/2022 12H,12014
05/13/2022 11H,11234
05/13/2022 10H,10231
05/13/2022 09H,9894
05/13/2022 08H,9694
05/13/2022 07H,9705
05/13/2022 06H,9690
05/13/2022 05H,10149
05/13/2022 04H,10898
05/13/2022 03H,11999
05/13/2022 02H,13123
05/13/2022 01H,13820
05/13/2022 00H,13744
05/12/2022 23H,13535
05/12/2022 22H,12867
05/12/2022 21H,11999
05/12/2022 20H,11296
05/12/2022 19H,10979
05/12/2022 18H,10754
05/12/2022 17H,10602
05/12/2022 16H,10660
05/12/2022 15H,10712
05/12/2022 14H,11151
05/12/2022 13H,11524
05/12/2022 12H,11672
05/12/2022 11H,11070
05/12/2022 10H,9952
05/12/2022 09H,9358
05/12/2022 08H,9256
05/12/2022 07H,9060
05/12/2022 06H,9280
05/12/2022 05H,9683
05/12/2022 04H,10364
05/12/2022 03H,11406
05/12/2022 02H,12472
05/12/2022 01H,13141
05/12/2022 00H,13055
05/11/2022 23H,12767
05/11/2022 22H,12052
05/11/2022 21H,11156
05/11/2022 20H,10628
05/11/2022 19H,10315
05/11/2022 18H,10193
05/11/2022 17H,9855
05/11/2022 16H,10285
05/11/2022 15H,10527
05/11/2022 14H,10642
05/11/2022 13H,11214
05/11/2022 12H,11702
05/11/2022 11H,11306
05/11/2022 10H,10184
05/11/2022 09H,9467
05/11/2022 08H,9395
05/11/2022 07H,9403
05/11/2022 06H,9300
05/11/2022 05H,9637
05/11/2022 04H,10242
05/11/2022 03H,11208
05/11/2022 02H,12303
05/11/2022 01H,12944
05/11/2022 00H,12815
05/10/2022 23H,12365
05/10/2022 22H,11345
05/10/2022 21H,10428
05/10/2022 20H,9922
05/10/2022 19H,9937
05/10/2022 18H,10080
05/10/2022 17H,10150
05/10/2022 16H,9926
05/10/2022 15H,10013
05/10/2022 14H,10135
05/10/2022 13H,10751
05/10/2022 12H,11539
05/10/2022 11H,11412
